Sorted by First Wire
a00 XOR x01 -> z01
a03 OR ccr -> qfk
a06 OR dgh -> pmv
a09 OR vsc -> fjn
a10 OR dtg -> spg
a11 OR wvv -> wdg
a13 OR hvg -> csf
a14 OR qsg -> sjm
a17 OR tgq -> jmr
a18 OR ptd -> rtg
a22 OR vkg -> mmw
a24 OR grb -> jhd
a25 AND jhd -> rcb
a25 XOR jhd -> z25
a27 OR npn -> jbv
a28 OR vjg -> nnq
a32 OR nfh -> wcs
a33 OR gst -> kmm
a35 OR pmr -> spk
a36 OR vmj -> qfp
a39 OR nfn -> fvh
a41 OR wtt -> bwv
a42 OR tgk -> ccp
a43 OR msp -> kvv
bcr OR a02 -> dfh
bvk OR a01 -> nmw
bwv XOR x42 -> z42
cbk AND x09 -> vsc
ccd OR a08 -> cbk
ccp XOR x43 -> z43
cdc OR a21 -> z21
csf AND x14 -> qsg
dbf AND x35 -> pmr
dbf XOR x35 -> z35
dbm OR a07 -> qtg
ddw AND x20 -> qfn
dfh XOR x03 -> z03
dmb OR a19 -> ddw
dvm XOR x39 -> z39
fbk AND x13 -> hvg
fbk XOR x13 -> z13
fdv AND x41 -> wtt
fjn AND x10 -> dtg
fjn XOR x10 -> z10
fmf XOR x17 -> z17
fqc AND x32 -> nfh
fvh AND x40 -> hdq
fvh XOR x40 -> z40
fwg OR a15 -> rrj
gqb OR a26 -> mbp
gsj AND x30 -> pwp
hdq OR a40 -> fdv
jbv AND x28 -> vjg
jbv XOR x28 -> z28
jhv OR a05 -> wdh
jmr AND x18 -> ptd
kmm AND x34 -> vnr
kvv XOR x44 -> z44
mfp AND x26 -> gqb
mfp XOR x26 -> z26
mgw OR a44 -> z45
mjr OR a37 -> pkw
mmw AND x23 -> rkf
mmw XOR x23 -> z23
ndp OR a04 -> rgv
nmw AND x02 -> bcr
nmw XOR x02 -> z02
pmv AND x07 -> dbm
pwp OR a30 -> ctw
qfk AND x04 -> ndp
qfn OR a20 -> rsc
qhg OR a31 -> fqc
qtg AND x08 -> ccd
r00 AND s00 -> a00
r00 XOR s00 -> x00
r01 AND s01 -> a01
r01 XOR s01 -> x01
r02 AND s02 -> a02
r02 XOR s02 -> x02
r03 AND s03 -> a03
r03 XOR s03 -> x03
r04 AND s04 -> a04
r04 XOR s04 -> x04
r05 AND s05 -> a05
r05 XOR s05 -> x05
r06 AND s06 -> a06
r06 XOR s06 -> x06
r07 AND s07 -> a07
r07 XOR s07 -> x07
r08 AND s08 -> a08
r08 XOR s08 -> x08
r09 AND s09 -> a09
r09 XOR s09 -> x09
r10 AND s10 -> a10
r10 XOR s10 -> x10
r11 AND s11 -> a11
r11 XOR s11 -> x11
r12 AND s12 -> a12
r12 XOR s12 -> x12
r13 AND s13 -> a13
r13 XOR s13 -> x13
r14 AND s14 -> a14
r14 XOR s14 -> x14
r15 AND s15 -> a15
r15 XOR s15 -> x15
r16 AND s16 -> a16
r16 XOR s16 -> x16
r17 AND s17 -> a17
r17 XOR s17 -> x17
r18 AND s18 -> a18
r18 XOR s18 -> x18
r19 AND s19 -> a19
r19 XOR s19 -> x19
r20 AND s20 -> a20
r20 XOR s20 -> x20
r21 AND s21 -> a21
r21 XOR s21 -> x21
r22 AND s22 -> a22
r22 XOR s22 -> x22
r23 AND s23 -> a23
r23 XOR s23 -> x23
r24 AND s24 -> a24
r24 XOR s24 -> x24
r25 AND s25 -> a25
r25 XOR s25 -> x25
r26 AND s26 -> a26
r26 XOR s26 -> x26
r27 AND s27 -> a27
r27 XOR s27 -> x27
r28 AND s28 -> a28
r28 XOR s28 -> x28
r29 AND s29 -> a29
r29 XOR s29 -> x29
r30 AND s30 -> a30
r30 XOR s30 -> x30
r31 AND s31 -> a31
r31 XOR s31 -> x31
r32 AND s32 -> a32
r32 XOR s32 -> x32
r33 AND s33 -> a33
r33 XOR s33 -> x33
r34 AND s34 -> a34
r34 XOR s34 -> x34
r35 AND s35 -> a35
r35 XOR s35 -> x35
r36 AND s36 -> a36
r36 XOR s36 -> x36
r37 AND s37 -> a37
r37 XOR s37 -> x37
r38 AND s38 -> a38
r38 XOR s38 -> x38
r39 AND s39 -> a39
r39 XOR s39 -> x39
